Data,Model,Perplexity,Length
DreamBank,gpt2,31.86400604,1430869
WikiText2,gpt2,27.43801498,1669957
DreamBank,gpt2-medium,26.69060135,1430869
WikiText2,gpt2-medium,19.97169304,1669957
DreamBank,gpt2-large,24.24794388,1430869
WikiText2,gpt2-large,17.17226028,1669957
DreamBank,gpt2-xl,22.90694046,1430869
WikiText2,gpt2-xl,15.51642704,1669957
DreamBank,OLMo-1B,19.89409065,1430869
WikiText2,OLMo-1B,12.36615658,1669957
DreamBank,OLMo-7B,16.54622269,1430869
WikiText2,OLMo-7B,8.676951408,1669957